UnixTime,Exchange
1549928842,3190.0
1549928836,3189.97
1549928835,3189.97
1549928829,3189.97
1549928822,3190.0
1549928821,3190.0
1549928802,3189.97
1549928791,3190.0
1549928772,3190.0
1549928765,3191.42
1549928735,3191.48
1549928714,3191.49
1549928709,3191.17
1549928706,3191.49
1549928705,3188.54
1549928683,3191.94
1549928650,3191.98
1549928646,3191.98
1549928604,3192.02
1549928590,3192.04
1549928583,3188.54
1549928581,3189.13
1549928570,3192.14
1549928568,3190.33
1549928529,3192.22
1549928527,3189.66
1549928481,3192.0
1549928471,3192.27
1549928419,3189.13
1549928403,3192.98
1549928403,3192.98
1549928402,3192.98
1549928369,3192.0
1549928369,3192.0
1549928285,3194.17
1549928261,3192.0
1549928231,3194.39
1549928175,3192.0
1549928157,3193.1
1549928157,3193.1
1549928142,3193.07
1549928142,3193.07
1549928116,3192.0
1549928051,3194.44
1549928049,3192.27
1549927981,3192.27
1549927887,3194.81
1549927804,3196.96
1549927804,3196.95
1549927804,3196.18
1549927804,3195.87
1549927804,3195.34
1549927802,3194.8
1549927535,3194.81
1549927375,3194.8
1549927363,3189.13
1549927328,3194.99
1549927328,3194.1
1549927327,3194.09
1549927326,3194.09
1549927271,3194.14
1549927260,3189.13
1549927089,3194.83
1549926970,3194.83
1549926970,3189.13
1549926913,3195.4
1549926867,3195.2
1549926725,3195.61
1549926718,3186.27
1549926718,3186.28
1549926718,3186.64
1549926718,3189.13
1549926716,3189.14
1549926683,3189.14
1549926676,3189.14
1549926671,3189.14
1549926612,3194.03
1549926592,3193.91
1549926576,3194.06
1549926525,3193.64
1549926467,3193.61
1549926401,3194.29
1549926394,3194.22
1549926358,3186.31
1549926358,3187.54
1549926358,3187.71
1549926358,3188.21
1549926358,3190.0
1549926356,3190.1
1549926356,3195.74
1549926176,3190.1
1549926129,3197.21
1549926129,3197.2
1549926124,3196.54
1549926113,3190.12
1549926103,3190.1
1549926101,3190.27
1549926095,3190.16
1549926084,3189.15
1549926084,3189.15
1549926073,3197.01
1549926073,3197.0
1549926073,3189.16
1549926072,3189.16
1549926067,3189.15
1549926066,3189.15
1549926061,3189.15
1549926060,3189.15
1549926059,3189.15
1549926054,3190.39
1549926051,3197.07
1549926015,3197.16
1549926015,3189.42
1549926006,3189.32
1549926004,3196.0
1549926004,3196.0
1549926003,3196.0
1549925932,3195.95
1549925929,3195.97
1549925914,3195.97
1549925909,3195.95
1549925886,3195.95
1549925883,3195.95
1549925853,3195.97
1549925853,3195.97
1549925832,3195.97
1549925803,3195.95
1549925793,3190.66
1549925792,3190.66
1549925791,3190.66
1549925776,3195.97
1549925748,3195.97
1549925743,3195.97
1549925713,3195.97
1549925711,3195.95
1549925683,3196.0
1549925659,3198.86
1549925658,3198.89
1549925623,3199.54
1549925591,3198.92
1549925563,3199.41
1549925558,3191.24
1549925558,3191.24
1549925536,3199.56
1549925534,3197.02
1549925501,3197.02
1549925471,3197.02
1549925445,3199.64
1549925419,3199.63
1549925416,3199.63
1549925412,3199.62
1549925412,3199.62
1549925406,3199.62
1549925384,3197.89
1549925376,3197.89
1549925376,3197.89
1549925374,3196.5
1549925354,3197.89
1549925351,3197.89
1549925350,3197.89
1549925344,3197.89
1549925326,3197.87
1549925324,3196.52
1549925314,3196.52
1549925299,3196.4
1549925299,3196.4
1549925288,3197.96
1549925264,3198.06
1549925254,3198.08
1549925253,3198.05
